iteration=1
( S, 0, 0, R, 50):STAY=[-4.250]
( S, 0, 0, D, 50):STAY=[0.000]
( W, 0, 0, R, 50):STAY=[0.000]
( W, 0, 0, D, 50):STAY=[0.000]
( C, 1, 0, R, 50):STAY=[-24.250]
( C, 1, 0, D, 50):STAY=[0.000]
( N, 1, 0, R, 50):CRAFT=[-10.000]
( N, 1, 0, D, 50):STAY=[-6.800]
( E, 1, 0, R, 50):STAY=[-20.000]
( E, 1, 0, D, 50):HIT=[0.000]
( S, 1, 0, R, 50):STAY=[-4.250]
( S, 1, 0, D, 50):STAY=[0.000]
( W, 1, 0, R, 50):STAY=[0.000]
( W, 1, 0, D, 50):STAY=[0.000]
( C, 2, 0, R, 50):STAY=[-24.250]
( C, 2, 0, D, 50):STAY=[0.000]
( N, 2, 0, R, 50):CRAFT=[-10.000]
( N, 2, 0, D, 50):STAY=[-6.800]
( E, 2, 0, R, 50):STAY=[-20.000]
( E, 2, 0, D, 50):HIT=[0.000]
( S, 2, 0, R, 50):STAY=[-4.250]
( S, 2, 0, D, 50):STAY=[0.000]
( W, 2, 0, R, 50):STAY=[0.000]
( W, 2, 0, D, 50):STAY=[0.000]
( C, 0, 1, R, 50):STAY=[-24.250]
( C, 0, 1, D, 50):STAY=[0.000]
( N, 0, 1, R, 50):STAY=[-10.000]
( N, 0, 1, D, 50):STAY=[-6.800]
( E, 0, 1, R, 50):STAY=[-20.000]
( E, 0, 1, D, 50):HIT=[0.000]
( S, 0, 1, R, 50):STAY=[-4.250]
( S, 0, 1, D, 50):STAY=[0.000]
( W, 0, 1, R, 50):STAY=[0.000]
( W, 0, 1, D, 50):STAY=[0.000]
( C, 1, 1, R, 50):STAY=[-24.250]
( C, 1, 1, D, 50):STAY=[0.000]
( N, 1, 1, R, 50):CRAFT=[-10.000]
( N, 1, 1, D, 50):STAY=[-6.800]
( E, 1, 1, R, 50):STAY=[-20.000]
( E, 1, 1, D, 50):HIT=[0.000]
( S, 1, 1, R, 50):STAY=[-4.250]
( S, 1, 1, D, 50):STAY=[0.000]
( W, 1, 1, R, 50):STAY=[0.000]
( W, 1, 1, D, 50):STAY=[0.000]
( C, 2, 1, R, 50):STAY=[-24.250]
( C, 2, 1, D, 50):STAY=[0.000]
( N, 2, 1, R, 50):CRAFT=[-10.000]
( N, 2, 1, D, 50):STAY=[-6.800]
( E, 2, 1, R, 50):STAY=[-20.000]
( E, 2, 1, D, 50):HIT=[0.000]
( S, 2, 1, R, 50):STAY=[-4.250]
( S, 2, 1, D, 50):STAY=[0.000]
( W, 2, 1, R, 50):STAY=[0.000]
( W, 2, 1, D, 50):STAY=[0.000]
( C, 0, 2, R, 50):STAY=[-24.250]
( C, 0, 2, D, 50):STAY=[0.000]
